epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,452.671,1.07463,2.46947,0.36804,1.07416,1.13042,0.54024,0.59616,0.64103,0.42313,0.47983,0.51776,0.53239,0.20436,1.23497,2.85424,0.0896,1.52554,1.35509,0.000397841,0.000397841,0.000397841
51,460.32,1.07182,2.5757,0.38873,1.1165,1.15381,0.59394,0.66039,0.67487,0.458,0.55266,0.60749,0.59051,0.21762,1.21389,2.7764,0.08231,1.28836,1.3107,0.00039396,0.00039396,0.00039396
52,470.152,1.05417,2.49012,0.34069,1.06757,1.13421,0.60602,0.70516,0.71832,0.48292,0.54924,0.62482,0.62073,0.22378,1.16142,2.66271,0.07643,1.20115,1.28158,0.000390079,0.000390079,0.000390079
53,477.916,1.06349,2.51477,0.35476,1.09002,1.13406,0.59443,0.61978,0.63356,0.42138,0.56432,0.56717,0.57794,0.21959,1.26289,2.63733,0.08092,1.33132,1.3257,0.000386198,0.000386198,0.000386198
54,487.107,1.04965,2.39407,0.36619,1.03792,1.1262,0.58329,0.60546,0.67413,0.45266,0.53464,0.5484,0.56198,0.20803,1.25282,2.69712,0.0757,1.37763,1.32351,0.000382318,0.000382318,0.000382318
55,497.983,1.06791,2.47257,0.34911,1.01755,1.12592,0.56471,0.67096,0.69171,0.45916,0.50874,0.57731,0.56488,0.21801,1.19616,2.73861,0.076,1.32785,1.31857,0.000378437,0.000378437,0.000378437
56,506.631,1.05955,2.34389,0.36271,1.01918,1.13418,0.57725,0.63415,0.70736,0.48798,0.51797,0.594,0.6215,0.22724,1.18243,2.71279,0.08025,1.30252,1.31303,0.000374556,0.000374556,0.000374556
57,515.564,1.07067,2.34457,0.34796,1.04288,1.12968,0.71718,0.61459,0.70345,0.47158,0.63201,0.56643,0.61259,0.23211,1.20654,2.70224,0.07745,1.51897,1.33712,0.000370675,0.000370675,0.000370675
58,523.753,1.0493,2.44566,0.35404,1.04057,1.12127,0.6286,0.7091,0.76017,0.51697,0.59147,0.67931,0.67845,0.23669,1.19239,2.71053,0.07278,1.30426,1.30221,0.000366794,0.000366794,0.000366794
59,532.848,1.06395,2.38914,0.35784,1.01119,1.11961,0.61746,0.72992,0.74897,0.5163,0.57569,0.70126,0.70333,0.25959,1.1781,2.60735,0.07889,1.07457,1.29196,0.000362914,0.000362914,0.000362914
60,542.288,1.03445,2.29019,0.35894,0.98422,1.11532,0.62021,0.67995,0.74065,0.50017,0.51802,0.56973,0.5824,0.23607,1.12228,2.6858,0.07495,1.49036,1.2703,0.000359033,0.000359033,0.000359033
61,549.855,1.02473,2.22279,0.33428,0.96091,1.09998,0.6336,0.64412,0.71387,0.47475,0.5208,0.52577,0.59584,0.23358,1.16706,2.69059,0.07374,1.33261,1.28842,0.000355152,0.000355152,0.000355152
62,559.472,1.04179,2.31856,0.35326,0.99673,1.11651,0.69378,0.68751,0.71074,0.49535,0.57089,0.57383,0.59943,0.23375,1.19885,2.6952,0.07069,1.32951,1.31757,0.000351271,0.000351271,0.000351271
63,568.269,1.01625,2.27694,0.34449,1.0067,1.11115,0.63414,0.72795,0.7285,0.50119,0.56573,0.6446,0.60855,0.23326,1.16646,2.63395,0.06772,1.22847,1.27767,0.00034739,0.00034739,0.00034739
64,576.726,1.01547,2.26152,0.33542,0.96735,1.11064,0.62584,0.74124,0.71979,0.48903,0.5975,0.7091,0.68395,0.26375,1.21735,2.60956,0.07274,1.15739,1.32349,0.00034351,0.00034351,0.00034351
65,586.052,0.99746,2.262,0.33272,0.98717,1.10442,0.56915,0.67417,0.71216,0.47858,0.54403,0.59224,0.61509,0.24117,1.18512,2.62643,0.06874,1.40756,1.31467,0.000339629,0.000339629,0.000339629
66,593.903,1.01423,2.2504,0.33046,0.97528,1.10975,0.67636,0.67557,0.72686,0.50639,0.64225,0.63258,0.63875,0.23585,1.16423,2.6937,0.06783,1.49092,1.29547,0.000335748,0.000335748,0.000335748
67,603.35,1.03515,2.27947,0.34743,1.00403,1.11352,0.69057,0.67169,0.7778,0.53988,0.62654,0.60918,0.66864,0.23468,1.1793,2.70288,0.07013,1.36295,1.29697,0.000331867,0.000331867,0.000331867
68,612.431,1.00862,2.215,0.33595,0.93392,1.11237,0.70612,0.66245,0.75202,0.53432,0.5946,0.57799,0.61279,0.22761,1.17801,2.68276,0.06496,1.49592,1.29228,0.000327986,0.000327986,0.000327986
69,619.965,0.98499,2.15822,0.32623,0.91761,1.08587,0.68286,0.73816,0.77968,0.52905,0.62314,0.68179,0.69764,0.27119,1.18508,2.56081,0.06715,1.24821,1.31991,0.000324106,0.000324106,0.000324106
70,630.005,1.01201,2.15763,0.35442,0.93132,1.09487,0.7041,0.76001,0.8077,0.55246,0.62206,0.68573,0.70484,0.29836,1.17116,2.52559,0.06592,1.10765,1.29406,0.000320225,0.000320225,0.000320225
71,638.352,1.00984,2.22081,0.3464,0.93514,1.11426,0.65041,0.75489,0.76952,0.52159,0.5911,0.69623,0.68353,0.27254,1.21415,2.57735,0.0649,1.34873,1.33247,0.000316344,0.000316344,0.000316344
